video_path,video_name,sha256,exists,size_bytes,size_mb,mtime,reader,readable,width,height,fps,frame_count,duration_s,error
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\01.mp4,01.mp4,3057e24aee7a48fcf15bd618b663bd7f0d061fb8893286c458986a7e1c6d17cf,True,824021,0.7858476638793945,2025-12-11T22:11:06,opencv,True,1280,720,30.0,270,9.0,
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\02.mp4,02.mp4,6b651e908aefd86959f85b78f945f7d5a5d9e767eb4c095926e1df2ed9629ff9,True,142336,0.1357421875,2022-03-03T14:49:24,opencv,True,480,360,30.0,108,3.6,
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\03.mp4,03.mp4,556b83449ac17fd8cb99ed1dcd6f11c287dd6e0198885e88555579f9bcab84f3,True,2973584,2.8358306884765625,2022-03-03T14:49:22,opencv,True,1280,720,30.0,480,16.0,
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\04.mp4,04.mp4,766db8dc32508b8f7f8faaa47656e0eedc8d1707b809fe8235db1e74e15d3369,True,1200845,1.1452150344848633,2022-03-03T14:49:28,opencv,True,1280,720,30.0,277,9.233333333333333,
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\05.mp4,05.mp4,715d7c1dd52a78eac6c0a10cd78ba1c4f632dc778839c86fcf7a510ea4184420,True,836064,0.797332763671875,2022-03-03T14:49:24,opencv,True,1280,720,30.0,183,6.1,
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\06.mp4,06.mp4,22e0a0e7c0880d3e92e4eb5e98070e5128884dd21eebc8367852570feb1b1d7f,True,638126,0.6085643768310547,2022-03-03T14:49:20,opencv,True,480,360,30.0,292,9.733333333333333,
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\07.mp4,07.mp4,f3b47ceaddf31d472c367259788cb68e93511b14ae117577836f196e22ecedc5,True,3559307,3.3944196701049805,2022-03-03T14:49:22,opencv,True,1280,720,30.0,723,24.1,
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\08.mp4,08.mp4,962057312eb9b751ff907ba5799f455dedfc271cabb5d45abd40803e08f88d79,True,1026677,0.9791154861450195,2022-03-03T14:49:22,opencv,True,1280,720,30.0,239,7.966666666666667,
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\09.mp4,09.mp4,7ecb03c24c8fc45b66bff4eb56bdf2adba033e96db52dd2d858abd93fae9d749,True,741504,0.7071533203125,2022-03-03T14:49:20,opencv,True,480,360,30.0,339,11.3,
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\10.mp4,10.mp4,21047991667edfdde0cb848dfd80aa41ccb871bc02742bd24f28d512a70f53db,True,783573,0.7472734451293945,2022-03-03T14:49:22,opencv,True,480,360,30.0,325,10.833333333333334,
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\11.mp4,11.mp4,972bbc9b3f3cd620b2e576672301be7ccba0f54dae3a22b42194a3e322fd7905,True,672655,0.6414937973022461,2022-03-03T14:49:20,opencv,True,480,360,30.0,342,11.4,
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\12.mp4,12.mp4,5d4da7ef7e6a4a344a2b9657fadfa2207c3565a9f7c1fb806e629c95b453aff3,True,2233107,2.1296567916870117,2022-03-03T14:49:26,opencv,True,1280,720,30.0,609,20.3,
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\13.mp4,13.mp4,8a64f1201e0299f79d915aa87b4a9be811e346525589d1f41060c2533599a7cb,True,262575,0.2504110336303711,2025-12-11T22:05:28,opencv,True,640,360,30.0,260,8.666666666666666,
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\14.mp4,14.mp4,8f1c4cb4b1c97b31cd065317faef41465cfcda403ef12d1defce4a5d23b8e18e,True,2257001,2.1524438858032227,2022-03-03T14:49:24,opencv,True,1280,720,30.0,415,13.833333333333334,
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\15.mp4,15.mp4,bdd4ea47f2dac729a445cdf34009b9dff6d66bdc8ca997b82814bd55dc7fc675,True,705745,0.6730508804321289,2025-12-11T22:14:18,opencv,True,1280,720,30.0,220,7.333333333333333,
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\16.mp4,16.mp4,819a4c15dce5b85d8f7717087ea660551c3044daf3cecba1d45d342ae85365e5,True,226884,0.21637344360351562,2022-03-03T14:49:22,opencv,True,480,360,30.0,167,5.566666666666666,
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\17.mp4,17.mp4,8a2f9bad44684ae0ba22f4ad39e848020dbac6acf7e5fe9d974f2448e6902462,True,1951911,1.8614873886108398,2022-03-03T14:49:24,opencv,True,1280,720,30.0,419,13.966666666666667,
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\18.mp4,18.mp4,0faf17accce9e58d81b2cc4ff6b150f8bc7f1d2f620ba420944f5732f41d6759,True,2262931,2.1580991744995117,2022-03-03T14:49:24,opencv,True,1280,720,30.0,686,22.866666666666667,
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\19.mp4,19.mp4,26148d75d5b4c1ff6f69a36485cc02a771a74203d2c07d9d08f018bf88658217,True,1091162,1.0406131744384766,2022-03-03T14:49:24,opencv,True,1280,720,30.0,561,18.7,
D:\Desktop\shumo\E题数据\附件4-可解释专项视频样本与特征文件\附件4-可解释专项视频样本与特征文件\对齐版本\videos\20.mp4,20.mp4,0c75c37baddf51add457b20ad35e10166ff7baaa520f77bd6b2af2239c217a1c,True,971427,0.9264249801635742,2022-03-03T14:49:24,opencv,True,360,360,30.0,561,18.7,
